number,frequency,frequency_rate,current_gap,model_score
12,538,0.2717171717171717,0,1.3339255937925796
77,507,0.25606060606060604,0,1.2953310570063647
27,554,0.2797979797979798,0,1.2339538789363858
2,527,0.26616161616161615,3,1.1848821158394083
53,531,0.2681818181818182,6,1.1413595043292448
11,513,0.2590909090909091,1,0.9168734071067542
7,513,0.2590909090909091,4,0.9068210790381062
54,519,0.26212121212121214,3,0.8946407159803127
57,511,0.2580808080808081,2,0.7875379595421237
63,528,0.26666666666666666,1,0.7152124014619705
14,508,0.25656565656565655,2,0.6735610942110074
71,526,0.26565656565656565,0,0.6619270781062994
52,511,0.2580808080808081,8,0.6593877762239185
39,503,0.25404040404040407,0,0.6063920690913909
50,511,0.2580808080808081,0,0.5483608737910572
10,496,0.2505050505050505,4,0.47378542809254437
21,510,0.25757575757575757,6,0.434612264737407
38,463,0.23383838383838385,1,0.41600093537751603
18,486,0.24545454545454545,2,0.3964428281524254
66,490,0.2474747474747475,0,0.33097714173896137
62,504,0.2545454545454545,3,0.29975634199756274
75,486,0.24545454545454545,2,0.2633972536443485
59,504,0.2545454545454545,4,0.2577086109569655
40,483,0.24393939393939393,13,0.2503949626774451
30,495,0.25,4,0.23100522492364467
41,506,0.25555555555555554,5,0.22794845445889658
33,478,0.24141414141414141,5,0.1952852558228895
32,501,0.25303030303030305,4,0.17677713082525437
9,511,0.2580808080808081,3,0.1730812411080462
49,501,0.25303030303030305,1,0.145738735822265
69,509,0.25707070707070706,1,0.136843601465804
19,488,0.24646464646464647,3,0.10950089422090184
44,496,0.2505050505050505,2,0.05156267317906435
37,488,0.24646464646464647,1,-0.0055399886047868
3,499,0.25202020202020203,2,-0.008596759069533964
13,500,0.25252525252525254,5,-0.0250053235305025
24,478,0.24141414141414141,4,-0.027894128442202293
8,504,0.2545454545454545,0,-0.03846392509321803
43,496,0.2505050505050505,6,-0.050537480584518124
23,488,0.24646464646464647,0,-0.05458307529016426
64,502,0.25353535353535356,1,-0.05975384547693805
74,485,0.24494949494949494,9,-0.06653538402961351
16,508,0.25656565656565655,3,-0.0819865366033817
6,489,0.24696969696969698,2,-0.08698934123710729
48,495,0.25,3,-0.09217434865012111
73,508,0.25656565656565655,3,-0.11503192180278471
34,511,0.2580808080808081,4,-0.11810292949377094
67,480,0.24242424242424243,12,-0.12871604370086442
51,495,0.25,1,-0.13221508949430455
72,486,0.24545454545454545,4,-0.1359254183968717
56,503,0.25404040404040407,0,-0.14015321588180424
45,487,0.24595959595959596,1,-0.15722937404771214
36,490,0.2474747474747475,8,-0.21345042307539797
17,470,0.23737373737373738,3,-0.2510877499335334
78,487,0.24595959595959596,6,-0.2513771641975546
4,473,0.2388888888888889,0,-0.2681494689140803
58,497,0.251010101010101,0,-0.27701612881806226
26,488,0.24646464646464647,0,-0.2787194675242157
1,491,0.24797979797979797,2,-0.29883815892863164
5,504,0.2545454545454545,0,-0.3706458445081779
65,488,0.24646464646464647,1,-0.37881263109138436
60,481,0.24292929292929294,0,-0.38422609674098424
35,499,0.25202020202020203,0,-0.38886475720091185
61,495,0.25,0,-0.39734923054149884
70,489,0.24696969696969698,0,-0.40921190684191355
28,498,0.2515151515151515,1,-0.4495562991763572
42,466,0.23535353535353534,2,-0.5407970400657838
47,480,0.24242424242424243,0,-0.5439608200561438
15,508,0.25656565656565655,1,-0.5953001092428364
25,484,0.24444444444444444,7,-0.6815382474576566
68,485,0.24494949494949494,5,-0.7029351773669916
46,485,0.24494949494949494,2,-0.7428829439526803
80,494,0.2494949494949495,2,-0.7492249431187614
20,472,0.2383838383838384,1,-0.7851591332298631
76,462,0.23333333333333334,3,-0.8485110218804215
29,471,0.23787878787878788,1,-0.8618483766912829
79,481,0.24292929292929294,1,-0.8825919501219186
31,438,0.22121212121212122,4,-1.0558283905967512
22,455,0.2297979797979798,0,-1.4413741684405166
55,460,0.23232323232323232,1,-1.5562938045143535
